Location,Latitude,Longitude
Albury Airport,-36.0692654,146.9526429
Badgerys Creek,-33.8831452,150.742466
Cobar,-31.9666628,145.3045054
Coffs Harbour,-30.2962407,153.1135293
Moree,-29.4617202,149.8407153
Newcastle,-32.9272881,151.7812534
Norah Head,-33.2816667,151.5677778
Norfolk Island,-29.0328038,167.9483137
Penrith,-33.7511954,150.6941711
Richmond RAAF,-33.6011603,150.7792786
Sydney,-33.8698439,151.2082848
Sydney Airport,-33.9498935,151.1819682
Wagga Wagga,-35.115,147.3677778
Williamtown,-32.815,151.8427778
Wollongong,-34.4243941,150.89385
Canberra,-35.2975906,149.1012676
Tuggeranong,-35.4209771,149.0921341
Mount Ginini,-35.5297437,148.7725396
Ballarat,-37.5623013,143.8605645
Bendigo,-36.7590183,144.2826718
Sale,-38.1094463,147.0656717
Melbourne Airport,-37.6764488,144.8365383
Melbourne,-37.8142454,144.9631732
Mildura,-34.195274,142.1503146
Nhil,-35.4325403,141.2833862
Portland Airport,-38.3190133,141.4719325
Watsonia,-37.7109468,145.0837808
Dartmoor,-37.895212,141.2679429
Brisbane,-27.365991,152.948963
Cairns,-16.9206657,145.7721854
Gold Coast,-28.0023731,153.4145987
Townsville,-19.2569391,146.8239537
Adelaide,-34.9281805,138.5999312
Mount Gambier,-37.8301386,140.7842627
Nuriootpa,-34.4693354,138.9939006
Woomera,-31.1999142,136.8253532
Albany,-35.0247822,117.883608
Witchcliffe,-34.0263348,115.1004768
RAAF Base Pearce,-31.6739604,116.0175435
Perth Airport,-31.9415213,115.9655769
Perth,-31.9558967,115.8605784
Salmon Gums,-32.9815167,121.6440785
North Walpole,-34.7797795,116.6605685
Hobart,-42.8825088,147.3281233
Launceston,-41.4340813,147.1373496
Alice Springs,-23.6983884,133.8812885
Darwin,-12.46044,130.8410469
Katherine,-14.4646157,132.2635993
Uluru,-25.344857,131.0325171
