Location,Latitude,Longitude,Address
Albury,-36.0804766,146.9162795,"{'city': 'Albury', 'municipality': 'Albury City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2640', 'country': 'Australia', 'country_code': 'au'}"
Albury,-36.0737734,146.9135265,"{'suburb': 'Albury', 'city': 'Albury', 'municipality': 'Albury City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2640', 'country': 'Australia', 'country_code': 'au'}"
Albury,-36.0148062,146.9821715,"{'municipality': 'Albury City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'country': 'Australia', 'country_code': 'au'}"
Badgerys Creek,-33.8831452,150.742466,"{'suburb': 'Badgerys Creek', 'municipality': 'Liverpool City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2555', 'country': 'Australia', 'country_code': 'au'}"
Badgerys Creek,-33.8705093,150.7528914,"{'stream': 'Badgerys Creek', 'suburb': 'Badgerys Creek', 'city': 'Sydney', 'municipality': 'Penrith City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'country': 'Australia', 'country_code': 'au'}"
Badgerys Creek,-33.8983935,150.7366004,"{'stream': 'Badgerys Creek', 'suburb': 'Badgerys Creek', 'city': 'Sydney', 'municipality': 'Liverpool City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2555', 'country': 'Australia', 'country_code': 'au'}"
Badgerys Creek,-33.9087442,150.7099409,"{'stream': 'Badgerys Creek', 'suburb': 'Bradfield', 'city': 'Sydney', 'municipality': 'Liverpool City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2556', 'country': 'Australia', 'country_code': 'au'}"
Badgerys Creek,-33.8520061,150.7600248,"{'stream': 'Badgerys Creek', 'suburb': 'Badgerys Creek', 'city': 'Sydney', 'municipality': 'Penrith City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2555', 'country': 'Australia', 'country_code': 'au'}"
Badgerys Creek,-33.9153582,150.7058697,"{'stream': 'Badgerys Creek', 'city': 'Sydney', 'municipality': 'Liverpool City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2556', 'country': 'Australia', 'country_code': 'au'}"
Badgerys Creek,-35.834944,149.9956543,"{'stream': 'Badgerys Creek', 'hamlet': 'Deua River Valley', 'municipality': 'Eurobodalla Shire Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2537', 'country': 'Australia', 'country_code': 'au'}"
Badgerys Creek,-36.8317444,149.4600524,"{'stream': 'Badgerys Creek', 'hamlet': 'Cathcart', 'municipality': 'Snowy Monaro Regional Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2632', 'country': 'Australia', 'country_code': 'au'}"
Badgerys Creek,-36.1768214,148.8368598,"{'stream': 'Badgerys Creek', 'hamlet': 'Frying Pan', 'municipality': 'Snowy Monaro Regional Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2630', 'country': 'Australia', 'country_code': 'au'}"
Badgerys Creek,-36.1900147,148.8442679,"{'stream': 'Badgerys Creek', 'municipality': 'Snowy Monaro Regional Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'country': 'Australia', 'country_code': 'au'}"
Cobar,-31.9666628,145.3045054,"{'county': 'Cobar Shire Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2835', 'country': 'Australia', 'country_code': 'au'}"
Cobar,-31.4983333,145.8344444,"{'town': 'Cobar', 'county': 'Cobar Shire Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2835', 'country': 'Australia', 'country_code': 'au'}"
Coffs Harbour,-30.2962407,153.1135293,"{'city': 'Coffs Harbour', 'municipality': 'Coffs Harbour City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2450', 'country': 'Australia', 'country_code': 'au'}"
Coffs Harbour,-30.2985996,153.1094116,"{'suburb': 'Coffs Harbour', 'city': 'Coffs Harbour', 'municipality': 'Coffs Harbour City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2450', 'country': 'Australia', 'country_code': 'au'}"
Coffs Harbour,-30.1732797,152.9985876,"{'municipality': 'Coffs Harbour City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'country': 'Australia', 'country_code': 'au'}"
Moree,-29.4617202,149.8407153,"{'town': 'Moree', 'municipality': 'Moree Plains Shire Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2400', 'country': 'Australia', 'country_code': 'au'}"
Moree,-23.6761311,146.5921928,"{'farm': 'Moree', 'house_number': '43757', 'municipality': 'Barcaldine Regional', 'state': 'Queensland', 'ISO3166-2-lvl4': 'AU-QLD', 'country': 'Australia', 'country_code': 'au'}"
Moree,-29.3213219,149.4597057,"{'municipality': 'Moree Plains Shire Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'country': 'Australia', 'country_code': 'au'}"
Newcastle,-32.9272881,151.7812534,"{'city': 'Newcastle', 'municipality': 'City of Newcastle', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2300', 'country': 'Australia', 'country_code': 'au'}"
Newcastle,-32.9192953,151.7795348,"{'suburb': 'Newcastle', 'city': 'Newcastle', 'municipality': 'City of Newcastle', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2300', 'country': 'Australia', 'country_code': 'au'}"
Newcastle,-32.8762675,151.703918,"{'municipality': 'City of Newcastle', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'country': 'Australia', 'country_code': 'au'}"
Norah Head,-33.2816667,151.5677778,"{'suburb': 'Norah Head', 'municipality': 'Central Coast Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2263', 'country': 'Australia', 'country_code': 'au'}"
Norah Head,-33.2815666,151.5791457,"{'cape': 'Norah Head', 'suburb': 'Norah Head', 'municipality': 'Central Coast Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2263', 'country': 'Australia', 'country_code': 'au'}"
Penrith,-33.7511954,150.6941711,"{'suburb': 'Penrith', 'town': 'Penrith', 'municipality': 'Penrith City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2750', 'country': 'Australia', 'country_code': 'au'}"
Penrith,-33.7477962,150.7147882,"{'municipality': 'Penrith City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'country': 'Australia', 'country_code': 'au'}"
Penrith,-33.7512304,150.6941603,"{'town': 'Penrith', 'city': 'Sydney', 'municipality': 'Penrith City Council', 'state': 'New South Wales', 'ISO3166-2-lvl4': 'AU-NSW', 'postcode': '2750', 'country': 'Australia', 'country_code': 'au'}"
Richmond,-37.80745,144.9907213,"{'political': 'Richmond District', 'city': 'Melbourne', 'municipality': 'City of Yarra', 'state': 'Victoria', 'ISO3166-2-lvl4': 'AU-VIC', 'country': 'Australia', 'country_code': 'au'}"
Richmond,-37.820386,145.0025144,"{'suburb': 'Richmond', 'municipality': 'City of Yarra', 'state': 'Victoria', 'ISO3166-2-lvl4': 'AU-VIC', 'postcode': '3121', 'country': 'Australia', 'country_code': 'au'}"
