Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,State
2007-11-01,Albury Airport,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-01,Badgerys Creek,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-01,Cobar,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-01,Coffs Harbour,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-01,Moree,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-01,Newcastle,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-01,Norah Head,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-01,Norfolk Island,,,,,,,,,,,,,,,,,,,,,,Island
2007-11-01,Penrith,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-01,Richmond RAAF,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-01,Sydney,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-01,Sydney Airport,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-01,Wagga Wagga,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-01,Williamtown,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-01,Wollongong,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-01,Canberra,8.0,24.3,0.0,3.4,6.3,NW,30.0,SW,NW,6.0,20.0,68.0,29.0,1019.7,1015.0,7.0,7.0,14.4,23.6,False,True,New South Wales
2007-11-01,Tuggeranong,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-01,Mount Ginini,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-01,Ballarat,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-01,Bendigo,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-01,Sale,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-01,Melbourne Airport,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-01,Melbourne,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-01,Mildura,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-01,Nhil,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-01,Portland Airport,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-01,Watsonia,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-01,Dartmoor,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-01,Brisbane,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-01,Cairns,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-01,Gold Coast,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-01,Townsville,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-01,Adelaide,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-01,Mount Gambier,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-01,Nuriootpa,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-01,Woomera,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-01,Albany,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-01,Witchcliffe,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-01,RAAF Base Pearce,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-01,Perth Airport,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-01,Perth,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-01,Salmon Gums,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-01,North Walpole,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-01,Hobart,,,,,,,,,,,,,,,,,,,,,,Tasmania
2007-11-01,Launceston,,,,,,,,,,,,,,,,,,,,,,Tasmania
2007-11-01,Alice Springs,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-01,Darwin,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-01,Katherine,,,,,,,,,,,,,,,,,,,,,,Northern Territory
